Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Africa Eastern and Southern,AFE,811405286192.027
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Africa Western and Central,AFW,692861753424.374
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Arab World,ARB,2173933273751.05
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Caribbean small states,CSS,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Central Europe and the Baltics,CEB,1217481561848
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Early-demographic dividend,EAR,9341621725666.08
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,East Asia & Pacific,EAS,19818595108156.5
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,East Asia & Pacific (excluding high income),EAP,12655269775686
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,East Asia & Pacific (IDA & IBRD countries),TEA,12639324561914.6
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Euro area,EMU,9565105037106.87
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Europe & Central Asia,ECS,17048683378041
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Europe & Central Asia (excluding high income),ECA,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Europe & Central Asia (IDA & IBRD countries),TEC,3225727113047.33
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,European Union,EUU,11316514715839.8
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Fragile and conflict affected situations,FCS,1416036910821.96
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Heavily indebted poor countries (HIPC),HPC,703302163318.149
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,High income,HIC,41150426203557.3
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,IBRD only,IBD,23628517756552.8
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,IDA & IBRD total,IBT,25660864100532.4
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,IDA blend,IDB,902834621160.537
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,IDA only,IDX,1136847965088.43
